state,crime_type,count,year
Arunachal Pradesh,Rioting (Sec.147-151 IPC),0.0,2023
Assam,Rioting (Sec.147-151 IPC),0.0,2023
Bihar,Rioting (Sec.147-151 IPC),178.0,2023
Chhattisgarh,Rioting (Sec.147-151 IPC),10.0,2023
Goa,Rioting (Sec.147-151 IPC),0.0,2023
Gujarat,Rioting (Sec.147-151 IPC),7.0,2023
Haryana,Rioting (Sec.147-151 IPC),0.0,2023
Himachal Pradesh,Rioting (Sec.147-151 IPC),0.0,2023
Jharkhand,Rioting (Sec.147-151 IPC),51.0,2023
Karnataka,Rioting (Sec.147-151 IPC),70.0,2023
Kerala,Rioting (Sec.147-151 IPC),0.0,2023
Madhya Pradesh,Rioting (Sec.147-151 IPC),30.0,2023
Maharashtra,Rioting (Sec.147-151 IPC),351.0,2023
Manipur,Rioting (Sec.147-151 IPC),0.0,2023
Meghalaya,Rioting (Sec.147-151 IPC),0.0,2023
